title,price,location,time,status,category
아이패드 미니5(배터리90%) wifi 64g+애플펜슬 1세대 일괄 팔아요,"290,000원",대전 유성구 봉명동,끌올 5개월 전,판매중,디지털기기
애플워치 SE2 44mm gps,"100,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플 에어팟 4세대 노이즈캔슬링 미개봉,"210,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
애플펜슬 2세대,"80,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
애플워치 7 GPS 45mm 알루미늄 풀박스 (구성품 포함),"140,000원",대전 유성구 봉명동,끌올 6개월 전,판매중,디지털기기
애플워치 울트라2 49mm,"600,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
애플펜슬 화이트,"50,000원",대전 동구 용전동,5개월 전,판매중,디지털기기
메이튼 애플 카플레이 동글,"53,000원",대전 유성구 봉명동,4개월 전,판매중,디지털기기
S급 아이패드 에어 4세대 + 애플펜슬2 풀박스,"400,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
애플 펜슬 2세대 판매합니다,"45,000원",충남 논산시 내동,7개월 전,판매중,디지털기기
사용xx 애플워치 SE2 스타라이트 44mm GPS 풀박스,"150,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플 에어팟 프로 2세대(c타입)팝니다,"150,000원",대전 유성구 봉명동,끌올 4개월 전,판매중,디지털기기
애플펜슬 프로 새거,"150,000원",대전 유성구 봉명동,5개월 전,판매중,디지털기기
애플워치se2 40mm 스타라이트 gps 미개봉 새상품,"250,000원",세종시 종촌동,끌올 6개월 전,판매중,디지털기기
아이패드 프로 12.9 스페이스+애플펜슬,"780,000원",대전 유성구 봉명동,끌올 9개월 전,판매중,디지털기기
애플펜슬 프로,"130,000원",서울시 은평구 응암제3동,4개월 전,판매중,디지털기기
애플워치3 42mm 실버 + 스트랩,"80,000원",대전 대덕구 덕암동,6개월 전,판매중,디지털기기
애플 에어팟 맥스 스페이스 그레이 풀박스,"300,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
"애플 아이패드 mini A17 Pro 128GB WiFi 스페이스그레이(애케플 포함), 스마트플리오케이스","680,000원",대전 유성구 봉명동,6개월 전,판매중,디지털기기
애플 에어팟 프로 2세대,"150,000원",대전 유성구 노은1동,3개월 전,판매중,디지털기기
애플워치se 44 실버,"50,000원",대전 유성구 봉명동,5개월 전,판매중,디지털기기
"애플워치 울트라2 49mm (애케플포함, 성능100%)","680,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
미개봉 애플 에어팟 Pro 3세대,"320,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플워치 SE3 스타라이트 40mm 미개봉 새제품,"280,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
아이패드 에어 5세대 스페이스 그레이 + 애플펜슬 2세대 판매 합니다.,"500,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
애플워치se 40mm 로즈골드,"70,000원",대전 유성구 봉명동,끌올 4개월 전,판매중,디지털기기
애플워치 울트라 풀박스,"520,000원",대전 유성구 봉명동,7개월 전,판매중,디지털기기
애플워치 SE 44mm 블랙 풀박스,"70,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플 usb-c 70w 어댑터+맥세이프3 케이블(2m),"50,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
애플워치 시리즈6 나이키 에디션 44mm 셀룰러,"55,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
애플 펜슬 2세대,"130,000원",대전 유성구 봉명동,5개월 전,판매중,디지털기기
애플펜슬 프로,"140,000원",대구 서구 내당4동,끌올 5개월 전,판매중,디지털기기
애플펜슬 Pro,"130,000원",대전 유성구 봉명동,6개월 전,판매중,디지털기기
미개봉 애플워치 SE 3 40mm GPS 스타라이트,"310,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
애플워치 Series 9 41mm 알루미늄 스타라이트,"250,000원",대전 서구 갈마동,끌올 3개월 전,판매중,디지털기기
애플펜슬 1세대 (풀박스),"60,000원",대전 유성구 봉명동,5개월 전,판매중,디지털기기
애플워치 울트라 네이비 오션밴드 리퍼제품 풀박스,"530,000원",대전 동구 성남동,끌올 4개월 전,판매중,디지털기기
애플워치 SE 40mm 실버,"90,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
애플워치 7 미드나이트 41mm GPS (배터리성능87),"110,000원",경기 수원시 장안구 영화동,끌올 2개월 전,판매중,디지털기기
애플워치 10세대 46mm 실버 알루미늄 GPS+Cellular 판매합니다. (+스트랩),"466,000원",대전 유성구 봉명동,끌올 3개월 전,판매중,디지털기기
아이패드 에어4(11인치)+애플펜슬 2세대,"330,000원",인천 연수구 송도3동,끌올 3개월 전,판매중,디지털기기
애플워치 se2 44mm gps 팝니다,"140,000원",대전 유성구 봉명동,4개월 전,판매중,디지털기기
